n00296478	peregrination
n00296585	procession
n00296946	traversal
n00297062	wandering
n00297318	wayfaring
n00297404	drifting
n00297532	crossing
n00297657	ford
n00297863	shallow fording
n00297951	deep fording
n00298047	traversal
n00298161	tourism
n00298351	ecotourism
n00298497	driving
n00299112	motoring
n00299217	riding
n00299680	roping
n00299826	bronco busting
n00299933	endurance riding
n00300037	pack riding
n00300113	trail riding
n00300206	calf roping
n00300333	steer roping
n00300441	air travel
n00301192	flight
n00301443	connecting flight
n00301598	direct flight
n00301728	domestic flight
n00301857	international flight
n00302001	nonstop flight
n00302185	redeye
n00302394	flight
n00302861	acrobatics
n00303049	blind flying
n00303221	ballooning
n00303297	flyover
n00303495	glide
n00303748	hang gliding
n00303849	jump
n00304040	skydiving
n00304208	maiden flight
n00304349	parasailing
n00304442	overflight
n00304592	pass
n00304729	solo
n00304851	sortie
n00305005	touchdown
n00305153	aircraft landing
n00305326	ground-controlled approach
n00305519	crash landing
n00305707	three-point landing
n00305858	instrument landing
n00305980	splashdown
n00306102	takeoff
n00306210	tailspin
n00306318	terrain flight
n00306426	journey
n00306900	stage
n00307102	staging
n00307176	leg
n00307314	fare-stage
n00307455	commute
n00307631	drive
n00308073	long haul
n00308208	mush
n00308279	odyssey
n00308370	trip
n00308681	junket
n00308779	round trip
n00308871	run
n00309011	run
n00309115	passage
n00309276	lift
n00309368	joyride
n00309540	spin
n00309647	expedition
n00309802	scouting trip
n00309906	campaign
n00310063	exploration
n00310201	digression
n00310347	trek
n00310425	schlep
n00310516	trek
n00310666	tour
n00311091	grand tour
n00311195	grand tour
n00311381	itineration
